submitted,name_matched,accepted_name,accepted_species,accepted_family,overall_score
Pentameris airoides,Pentameris airoides,Pentameris airoides,Pentameris airoides,Poaceae,1
Pentameris exserta,Pentameris exserta,Pentameris exserta,Pentameris exserta,Poaceae,1
Pentaphylloides floribunda,Pentaphylloides floribunda,Dasiphora fruticosa var. fruticosa,Dasiphora fruticosa,Rosaceae,1
Perezia pungens,Perezia pungens,Perezia pungens,Perezia pungens,Asteraceae,1
Pernettya prostrata,Pernettya prostrata,Gaultheria myrsinoides,Gaultheria myrsinoides,Ericaceae,1
Persicaria vivipara,Persicaria vivipara,Persicaria vivipara,Persicaria vivipara,Polygonaceae,1
Phleum,Phleum,Phleum,,Poaceae,1
Phleum alpinum,Phleum alpinum,Phleum alpinum,Phleum alpinum,Poaceae,1
Phlox hoodii,Phlox hoodii,Phlox hoodii,Phlox hoodii,Polemoniaceae,1
Pimpinella caffra,Pimpinella caffra,Pimpinella caffra,Pimpinella caffra,Apiaceae,1
Plantago asiatica,Plantago asiatica,Plantago asiatica,Plantago asiatica,Plantaginaceae,1
Poa,Poa,Poa,,Poaceae,1
Poa alpina,Poa alpina,Poa alpina,Poa alpina,Poaceae,1
Poa arctica,Poa arctica,Poa arctica,Poa arctica,Poaceae,1
Poa fendleriana,Poa fendleriana,Poa fendleriana,Poa fendleriana,Poaceae,1
Poa pratensis,Poa pratensis,Poa pratensis,Poa pratensis,Poaceae,1
Poa spicigera,Poa spicigera,Poa spicigera,Poa spicigera,Poaceae,1
Polygala rhinostigma,Polygala rhinostigma,Polygala rhinostigma,Polygala rhinostigma,Polygalaceae,1
Polygonatum cirrhifolium,Polygonatum cirrhifolium,Polygonatum cirrhifolium,Polygonatum cirrhifolium,Asparagaceae,1
Polygonum douglasii,Polygonum douglasii,Polygonum douglasii,Polygonum douglasii,Polygonaceae,1
Polygonum macrophyllum,Polygonum macrophyllum,Polygonum macrophyllum,Polygonum macrophyllum,Polygonaceae,1
Polygonum runcinatum,Polygonum runcinatum,Polygonum runcinatum,Polygonum runcinatum,Polygonaceae,1
Polypogon exasperatus,Polypogon exasperatus,Polypogon exasperatus,Polypogon exasperatus,Poaceae,1
Polytrichum,Polytrichum,Polytrichum,,Polytrichaceae,1
Potentilla crantzii,Potentilla crantzii,Potentilla crantzii,Potentilla crantzii,Rosaceae,1
Potentilla erecta,Potentilla erecta,Potentilla erecta,Potentilla erecta,Rosaceae,1
Potentilla fruticosa,Potentilla fruticosa,Dasiphora fruticosa,Dasiphora fruticosa,Rosaceae,1
Potentilla gracilis,Potentilla gracilis,Potentilla gracilis,Potentilla gracilis,Rosaceae,1
Potentilla hyparctica,Potentilla hyparctica,Potentilla hyparctica,Potentilla hyparctica,Rosaceae,1
Potentilla leuconota,Potentilla leuconota,Potentilla leuconota,Potentilla leuconota,Rosaceae,1
Potentilla pulcherrima,Potentilla pulcherrima,Potentilla pulcherrima,Potentilla pulcherrima,Rosaceae,1
Potentilla stenophylla var. emergens,Potentilla stenophylla var. emergens,Potentilla stenophylla var. emergens,Potentilla stenophylla,Rosaceae,1
Primula deflexa,Primula deflexa,Primula deflexa,Primula deflexa,Primulaceae,1
Primula serratifolia,Primula serratifolia,Primula serratifolia,Primula serratifolia,Primulaceae,1
Prunella vulgaris,Prunella vulgaris,Prunella vulgaris,Prunella vulgaris,Lamiaceae,1
Psammotropha obtusa,Psammotropha obtusa,Psammotropha obtusa,Psammotropha obtusa,Molluginaceae,1
Pterichis,Pterichis,Pterichis,,Orchidaceae,1
Pteridium aquilinum,Pteridium aquilinum,Pteridium aquilinum,Pteridium aquilinum,Dennstaedtiaceae,1
Puya leptostachya,Puya leptostachya,Puya leptostachya,Puya leptostachya,Bromeliaceae,1
Pyrethrum tatsienense,Pyrethrum tatsienense,Tanacetum tatsienense,Tanacetum tatsienense,Asteraceae,1
Pyrola,Pyrola,Pyrola,,Ericaceae,1
Ranunculus acris,Ranunculus acris,Ranunculus acris,Ranunculus acris,Ranunculaceae,1
Ranunculus brotherusii var. tanguticus,Ranunculus brotherusii var. tanguticus,Ranunculus brotherusii var. tanguticus,Ranunculus brotherusii,Ranunculaceae,1
Ranunculus inamoenus,Ranunculus inamoenus,Ranunculus inamoenus,Ranunculus inamoenus,Ranunculaceae,1
